epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8103,2.63197,5.40516,2.0964,0.76422,0.00738,0.03026,0.00964,2.69411,5.28085,1.95578,0.000547729,0.000547729,0.000547729
2,74.2298,2.4413,3.97185,1.95459,0.19222,0.21622,0.11628,0.03414,2.58607,4.09034,2.03704,0.000994159,0.000994159,0.000994159
3,100.379,2.4197,3.30565,1.97926,0.31762,0.24813,0.21621,0.06741,2.50121,3.10597,2.07734,0.00133057,0.00133057,0.00133057
4,126.55,2.41781,2.82351,1.98598,0.32559,0.22888,0.20888,0.07268,2.42552,3.24388,1.97225,0.0011719,0.0011719,0.0011719
5,152.955,2.25066,2.39568,1.89096,0.34235,0.33173,0.29181,0.10734,2.34307,2.4866,1.93404,0.00100687,0.00100687,0.00100687
6,179.527,2.20867,2.16706,1.829,0.36654,0.37732,0.32879,0.12716,2.29407,2.24909,1.94133,0.000841835,0.000841835,0.000841835
7,206.305,2.12664,1.96438,1.79968,0.49205,0.43609,0.43248,0.17234,2.16125,1.93636,1.82311,0.000676802,0.000676802,0.000676802
8,234.599,2.04072,1.81676,1.74348,0.57359,0.43931,0.46848,0.18886,2.15433,1.85775,1.8147,0.000511769,0.000511769,0.000511769
9,262.377,1.98667,1.65881,1.68793,0.53687,0.48571,0.50116,0.20939,2.09669,1.70566,1.78069,0.000346736,0.000346736,0.000346736
10,289.747,1.92056,1.58473,1.64809,0.52516,0.50204,0.52013,0.21111,2.09098,1.64946,1.74928,0.000181703,0.000181703,0.000181703
